Date, AvgTemperature, Precipitation, Snowfall, SnowDepth
6/28/2015,70,0.3,0,0
6/29/2015,71.5,0,0,0
6/30/2015,73.5, T,0,0
7/1/2015,78,0.26,0,0
7/2/2015,74.5,0.03,0,0
7/3/2015,73.5,0,0,0
7/4/2015,73.5,0.01,0,0
7/5/2015,74,0,0,0
7/6/2015,76,0,0,0
7/7/2015,79, T,0,0
7/8/2015,81.5,0.53,0,0
7/9/2015,74.5,0.32,0,0
7/10/2015,79.5,0,0,0
7/11/2015,78,0,0,0
7/12/2015,78.5,0,0,0
7/13/2015,78,0,0,0
7/14/2015,76.5,0.13,0,0
7/15/2015,77.5,0.04,0,0
7/16/2015,72.5,0,0,0
7/17/2015,73.5,0,0,0
7/18/2015,78,0.02,0,0
7/19/2015,82,0,0,0
7/20/2015,87,0,0,0
7/21/2015,82.5, T,0,0
7/22/2015,80.5,0,0,0
7/23/2015,79,0,0,0
7/24/2015,77.5,0,0,0
7/25/2015,77,0,0,0
7/26/2015,79, T,0,0
7/27/2015,80, T,0,0
7/28/2015,81,0,0,0
7/29/2015,84.5,0,0,0
7/30/2015,80.5,0.97,0,0
7/31/2015,83,0,0,0
8/1/2015,82.5,0,0,0
8/2/2015,78.5,0,0,0
8/3/2015,80,0,0,0
8/4/2015,81,0.01,0,0
8/5/2015,81,0,0,0
8/6/2015,77.5,0,0,0
8/7/2015,77.5,0,0,0
8/8/2015,75,0,0,0
8/9/2015,76.5,0,0,0
8/10/2015,74.5,0,0,0
8/11/2015,76.5,1.13,0,0
8/12/2015,80.5, T,0,0
8/13/2015,78,0,0,0
8/14/2015,76,0,0,0
8/15/2015,79,0,0,0
8/16/2015,82, T,0,0
8/17/2015,82.5,0,0,0
8/18/2015,80.5,0,0,0
8/19/2015,81,0,0,0
8/20/2015,82, T,0,0
8/21/2015,80,2.48,0,0
8/22/2015,78,0,0,0
8/23/2015,76,0,0,0
8/24/2015,77.5,0,0,0
8/25/2015,80,0.01,0,0
8/26/2015,76,0,0,0
8/27/2015,75.5,0,0,0
8/28/2015,73,0,0,0
8/29/2015,76,0,0,0
8/30/2015,76.5, T,0,0
8/31/2015,83,0,0,0
9/1/2015,80,0,0,0
9/2/2015,78.5,0,0,0
9/3/2015,83,0,0,0
9/4/2015,77.5,0,0,0
9/5/2015,72,0,0,0
9/6/2015,71,0,0,0
9/7/2015,78,0,0,0
9/8/2015,82,0,0,0
9/9/2015,81,0.07,0,0
9/10/2015,75,1.18,0,0
9/11/2015,74,0.03,0,0
9/12/2015,74,0.27,0,0
9/13/2015,70.5,0.04,0,0
9/14/2015,69,0,0,0
9/15/2015,71,0,0,0
9/16/2015,73,0,0,0
9/17/2015,74,0,0,0
9/18/2015,74,0,0,0
9/19/2015,74,0,0,0
9/20/2015,72,0,0,0
9/21/2015,65.5,0,0,0
9/22/2015,68,0,0,0
9/23/2015,69,0,0,0
9/24/2015,71,0,0,0
9/25/2015,69,0,0,0
9/26/2015,66,0,0,0
9/27/2015,64,0,0,0
9/28/2015,70,0.04,0,0
9/29/2015,74.5,0.13,0,0
9/30/2015,69,0.82,0,0
10/1/2015,58.5,0.08,0,0
10/2/2015,53.5,1.81,0,0
10/3/2015,54,0.16,0,0
10/4/2015,60,0,0,0
10/5/2015,60,0,0,0
10/6/2015,62.5,0,0,0
10/7/2015,64,0,0,0
10/8/2015,62.5,0,0,0
10/9/2015,67.5,0.28,0,0
10/10/2015,59,0,0,0
10/11/2015,59,0,0,0
10/12/2015,62.5,0,0,0
10/13/2015,67, T,0,0
10/14/2015,64,0,0,0
10/15/2015,58.5,0,0,0
10/16/2015,60,0,0,0
10/17/2015,50.5,0,0,0
10/18/2015,45.5,0,0,0
10/19/2015,44,0,0,0
10/20/2015,59.5,0,0,0
10/21/2015,61.5,0,0,0
10/22/2015,61.5,0,0,0
10/23/2015,55,0,0,0
10/24/2015,50.5,0,0,0
10/25/2015,59.5,0.02,0,0
10/26/2015,52.5,0,0,0
10/27/2015,50.5,0,0,0
10/28/2015,60,1.79,0,0
10/29/2015,66.5,0.06,0,0
10/30/2015,55,0,0,0
10/31/2015,47.5,0,0,0
11/1/2015,59,0,0,0
11/2/2015,58,0,0,0
11/3/2015,57.5,0,0,0
11/4/2015,59.5,0,0,0
11/5/2015,61,0.01,0,0
11/6/2015,68.5, T,0,0
11/7/2015,62.5,0,0,0
11/8/2015,51.5,0,0,0
11/9/2015,49,0,0,0
11/10/2015,56,0.45,0,0
11/11/2015,54.5,0.09,0,0
11/12/2015,56,0.05,0,0
11/13/2015,54.5,0,0,0
11/14/2015,46.5,0,0,0
11/15/2015,49.5,0,0,0
11/16/2015,57,0,0,0
11/17/2015,46.5,0,0,0
11/18/2015,51.5,0,0,0
11/19/2015,60.5,0.58,0,0
11/20/2015,54, T,0,0
11/21/2015,48.5,0,0,0
11/22/2015,51,0,0,0
11/23/2015,40.5,0,0,0
11/24/2015,39.5,0,0,0
11/25/2015,41.5,0,0,0
11/26/2015,47.5,0,0,0
11/27/2015,53,0,0,0
11/28/2015,55.5,0.02,0,0
11/29/2015,44, T,0,0
11/30/2015,42,0,0,0
12/1/2015,49.5,0.29,0,0
12/2/2015,52,0.12,0,0
12/3/2015,50.5, T,0,0
12/4/2015,47,0,0,0
12/5/2015,44,0,0,0
12/6/2015,44.5,0,0,0
12/7/2015,47.5,0,0,0
12/8/2015,45.5,0,0,0
12/9/2015,44.5,0,0,0
12/10/2015,53.5,0,0,0
12/11/2015,52,0,0,0
12/12/2015,56.5, T,0,0
12/13/2015,61.5, T,0,0
12/14/2015,57,0.36,0,0
12/15/2015,58.5,0.09,0,0
12/16/2015,49,0.05,0,0
12/17/2015,54.5,1.17,0,0
12/18/2015,48.5,0.01,0,0
12/19/2015,38.5,0,0,0
12/20/2015,39.5,0,0,0
